speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,region,year,country,temperature,precipitation,humidity,wind_speed,land_cover_type,habitat_loss_index,arrival_date,departure_date,migration_distance_km,route_complexity_score,stopover_count,avg_stopover_duration_days,migration_type,climate_zone
bawwar,Black-and-white Warbler,Mniotilta varia,L1357335,Huntington Central Park--East,2024-04-07,1.0,33.7040978,-118.0022383,True,True,False,S216374110,,US-CA,2024,US,18.070052697460252,5.20540497645347,80.80283785571618,5.849977669085169,Agricultural,0.9776323365504722,2024-03-14,2024-05-17,1050.3966002369968,0.19595682113562307,5,3.3128529623873426,Short-distance,Arid
ribgul,Ring-billed Gull,Larus delawarensis,L40828647,Teal pier,2024-06-07,5.0,32.792506,-117.209805,True,False,True,S216510417,,US-CA,2024,ZA,25.95831346981468,1.940713537235045,72.13975352531546,12.235452592854452,Grassland,0.25462686665289547,2024-03-09,2024-07-21,740.4842709747741,0.2840286682027823,6,7.889126025221776,Altitudinal,Subtropical
bushti,Bushtit,Psaltriparus minimus,L384546,Waneka Lake/Greenlee Preserve,2024-08-10,4.0,39.9970462,-105.1141834,True,False,False,S216509119,,US-CO,2024,US,21.98312771294524,3.50473275413472,87.51396118057036,8.109252114986692,Wetlands,0.9832159866537458,2024-03-02,2024-08-01,400.60237653094464,0.1352996375128349,7,6.99564999565531,Long-distance,Tropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L2187646,Steamboat Springs Ski Area,2023-06-12,6.0,40.4606624,-106.7850494,True,False,False,S216457212,,US-CO,2023,US,23.272104216506065,4.139557658687283,68.88065403185668,6.89156928407441,Agricultural,0.4383327756143538,2023-03-31,2023-05-14,841.5841277636806,0.8715420140012303,3,1.9126733161377771,Altitudinal,Subtropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L2665721,Sax-Zim Bog--Mary Lou's Feeding Station,2020-08-24,16.0,47.3047,-92.83039,True,False,False,S216438834,,US-MN,2020,IN,14.148876400547717,2.6291452937751543,89.93964679078272,3.0578678019996843,Wetlands,0.40273236986696614,2020-03-13,2020-07-18,1700.7937509558608,0.14367643635477023,7,9.046843962007467,Altitudinal,Tropical
bawwar,Black-and-white Warbler,Mniotilta varia,L13738767,Buxton Woods Coastal Reserve,2022-03-14,,35.2536716,-75.5610888,True,False,False,S216499433,,US-NC,2022,ZA,19.767831927247357,1.8218553458633377,78.88639550338965,6.1649421135930265,Urban,0.3428920913489797,2022-02-15,2022-07-13,817.3515122614028,0.17380095453856792,2,3.900896490432456,Long-distance,Arid
evegro,Evening Grosbeak,Coccothraustes vespertinus,L2187646,Steamboat Springs Ski Area,2022-07-10,6.0,40.4606624,-106.7850494,True,False,False,S216457212,,US-CO,2022,IN,23.336961570359513,10.637030213289114,50.575337464088406,6.454054011795343,Grassland,0.4489554374782375,2022-03-03,2022-04-16,1306.0011563908492,0.37779932620204393,7,8.184818203870122,Altitudinal,Tropical
ribgul,Ring-billed Gull,Larus delawarensis,L11409084,Snake River--3 mile rapids (Asotin Co.),2021-07-28,4.0,46.3052535,-117.0093727,True,False,False,S216499865,,US-WA,2021,US,22.36658983594202,2.300728748819532,87.06671963934508,9.68141772988074,Grassland,0.14489865930734602,2021-03-24,2021-07-15,975.8730250432039,0.527944003747641,1,1.4644228879808214,Altitudinal,Arid
evegro,Evening Grosbeak,Coccothraustes vespertinus,L292411,Crescent Lake WMA,2024-07-17,3.0,47.8162308,-121.9934082,True,False,False,S216368196,,US-WA,2024,ZA,20.749767427005235,3.4590240564653367,84.42996402185761,11.214470226424805,Wetlands,0.05952619687182248,2024-03-14,2024-08-01,829.9284951139509,0.1618104956605133,4,5.640776806607043,Long-distance,Subtropical
bawwar,Black-and-white Warbler,Mniotilta varia,L13733170,"751 NE 160th Ave, Williston US-FL 29.34111, -82.50304",2020-04-12,1.0,29.341115,-82.503038,True,False,True,S216508098,,US-FL,2020,IN,17.862048896756402,3.9144534180675823,60.524935684868964,7.136145694149819,Grassland,0.09566871042821268,2020-03-06,2020-05-12,849.1708232907399,0.949112053727739,2,5.986153171968569,Short-distance,Tropical
ribgul,Ring-billed Gull,Larus delawarensis,L40828647,Teal pier,2021-06-29,5.0,32.792506,-117.209805,True,False,True,S216510417,,US-CA,2021,IN,21.74303138205757,0.42877916542570144,41.29194861100056,9.551915513051076,Urban,0.7937668070297539,2021-02-22,2021-07-24,1299.7632123712979,0.9256635763208915,5,6.2409846001060805,Short-distance,Subtropical
bushti,Bushtit,Psaltriparus minimus,L4753011,Big Bend NP--Chisos Basin Loop area,2021-05-03,1.0,29.2754569,-103.3053339,True,False,False,S216501111,,US-TX,2021,ZA,29.207843103289502,9.48047777850163,42.63719760811087,9.34852357858943,Grassland,0.901741676040642,2021-03-29,2021-07-24,445.1234468675834,0.3878165426109311,5,9.157736193763954,Short-distance,Tropical
bawwar,Black-and-white Warbler,Mniotilta varia,L208734,Edith L. Moore Nature Sanctuary (UTC 094),2023-03-08,1.0,29.7717945,-95.5695572,True,False,False,S216510830,,US-TX,2023,IN,12.818973134483517,1.8436958239092556,79.81953613098545,12.352439249060495,Wetlands,0.8736686556513313,2023-03-24,2023-06-11,877.3919151668879,0.10544863875129418,1,3.793270382956714,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L3121964,High Island Beach (Gulf Seawatch),2020-08-24,2.0,29.5497991,-94.3877969,True,False,False,S216511762,,US-TX,2020,IN,26.088831496001436,5.38087581481892,69.33008687022803,8.009691528341536,Urban,0.5769221385996435,2020-02-29,2020-08-13,1300.460930048111,0.9194213159947,2,3.089250571287995,Short-distance,Subtropical
bushti,Bushtit,Psaltriparus minimus,L384546,Waneka Lake/Greenlee Preserve,2022-07-14,4.0,39.9970462,-105.1141834,True,False,False,S216509119,,US-CO,2022,US,22.960245582450156,1.8859747869325283,71.8651078269012,5.963993537754275,Wetlands,0.7747216226093416,2022-02-28,2022-07-14,879.5552817807869,0.3191322433170606,3,8.611863815060241,Altitudinal,Arid
ribgul,Ring-billed Gull,Larus delawarensis,L1447130,Cannon/Wells Lake--Causeway,2022-03-09,1.0,44.2815575,-93.350716,True,False,False,S216481440,,US-MN,2022,BR,22.714715473818533,0.4524246348353986,60.28572120904738,9.382699018968484,Forest,0.6304217481689232,2022-03-11,2022-08-12,1579.5106237254338,0.08928625153113057,1,7.292650374912658,Short-distance,Tropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L40784920,"2015 Lake Tahoe Blvd, South Lake Tahoe US-CA 38.91463, -120.00405",2021-07-12,8.0,38.914625,-120.004051,True,False,True,S216286140,,US-CA,2021,IN,31.244780474726724,0.3246536574421628,59.36115706051035,18.10908269321525,Urban,0.769186789995928,2021-03-09,2021-05-23,437.3864800245327,0.3933504265636626,5,8.300060854666256,Long-distance,Tropical
grnkin,Green Kingfisher,Chloroceryle americana,L9822293,"Fort Clark Springs,""rocky trail""",2024-03-27,1.0,29.3034732,-100.4174303,True,False,True,S216507966,,US-TX,2024,IN,16.386389892188507,1.1703731982969912,46.97251181025801,6.657755925300737,Forest,0.8122395386087472,2024-03-12,2024-04-29,1204.4027276964266,0.243281072862212,6,2.985519985151883,Altitudinal,Subtropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L292411,Crescent Lake WMA,2023-07-05,3.0,47.8162308,-121.9934082,True,False,False,S216368196,,US-WA,2023,BR,26.448153978117183,3.0348905589712736,89.51425852924706,8.08424252456491,Forest,0.8383378205933852,2023-03-17,2023-07-29,1206.699756808771,0.6989423919685712,5,8.788753317665083,Short-distance,Tropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L40784920,"2015 Lake Tahoe Blvd, South Lake Tahoe US-CA 38.91463, -120.00405",2021-04-30,8.0,38.914625,-120.004051,True,False,True,S216286140,,US-CA,2021,US,26.921611992382918,0.8367485489848367,62.275890724658055,13.457944309785077,Wetlands,0.5482037727921516,2021-03-15,2021-07-09,828.9440994555716,0.6023641741274721,6,9.973673892218294,Long-distance,Arid
evegro,Evening Grosbeak,Coccothraustes vespertinus,L2665721,Sax-Zim Bog--Mary Lou's Feeding Station,2021-07-08,16.0,47.3047,-92.83039,True,False,False,S216438834,,US-MN,2021,BR,23.20981135783017,4.747154670592853,76.00787304654702,10.929684338141904,Urban,0.5090034454826182,2021-02-24,2021-04-19,750.2091817790146,0.7631864379628072,3,9.74964671368337,Long-distance,Tropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L17839292,"49 Drew Lane, Chateaugay, New York, US (44.838, -74.04)",2021-05-17,1.0,44.8381898,-74.0399963,True,False,True,S216509427,,US-NY,2021,IN,22.611487515161418,6.777509418092686,52.180739599109714,12.695078705040956,Forest,0.2031539371899681,2021-03-24,2021-06-13,1383.9970690362272,0.4167531122925391,2,7.495932495860286,Altitudinal,Arid
evegro,Evening Grosbeak,Coccothraustes vespertinus,L2665721,Sax-Zim Bog--Mary Lou's Feeding Station,2024-07-17,16.0,47.3047,-92.83039,True,False,False,S216438834,,US-MN,2024,BR,22.077895237907338,0.801386631732093,69.68423099543666,13.383058883549287,Agricultural,0.12000274961688806,2024-02-21,2024-06-02,723.2915692664728,0.2536201691339893,1,7.327257548841513,Altitudinal,Temperate
bushti,Bushtit,Psaltriparus minimus,L3194041,"SE Fish Hatchery Rd, Fall City",2022-03-09,9.0,47.5514416,-121.8499017,True,False,False,S216510095,,US-WA,2022,IN,33.49449061809625,0.7404481906125612,59.22579068531333,7.004677441369845,Forest,0.9012240229777893,2022-03-12,2022-05-03,738.8238019489247,0.017714909508969257,5,3.5366586266754085,Altitudinal,Subtropical
ribgul,Ring-billed Gull,Larus delawarensis,L1781496,Walt Disney World--Seven Seas Lagoon,2020-05-12,16.0,28.4106351,-81.5826998,True,False,False,S216511542,,US-FL,2020,US,20.453954614750682,1.4387166435928542,52.15622652113343,4.617424400351691,Grassland,0.6555939512448392,2020-03-29,2020-09-15,1317.7705143632973,0.6203378054437996,6,2.094509034614809,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L3121964,High Island Beach (Gulf Seawatch),2021-04-12,2.0,29.5497991,-94.3877969,True,False,False,S216511762,,US-TX,2021,ZA,16.70393239055524,1.1122688346672973,56.392141894290916,8.864260770360538,Forest,0.6721050670137647,2021-02-18,2021-04-19,1553.3060640026113,0.69850988240131,2,6.625206990383428,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L1396692,George Freer Memorial Beach,2020-07-18,10.0,41.9102459,-73.9727658,True,False,False,S216505595,,US-NY,2020,IN,14.712242502675348,3.0981077631713916,65.43529921081333,12.880915504260004,Agricultural,0.9921717144484095,2020-03-12,2020-08-13,577.3268770357638,0.43369591700823573,7,7.022836044601889,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L1781496,Walt Disney World--Seven Seas Lagoon,2022-03-07,16.0,28.4106351,-81.5826998,True,False,False,S216511542,,US-FL,2022,US,20.15194831978183,4.7724904881653885,50.88498994286162,9.10661153132812,Urban,0.23357908312186626,2022-03-01,2022-06-07,834.4129860292512,0.42468515847225496,3,6.0523211549653,Short-distance,Temperate
bushti,Bushtit,Psaltriparus minimus,L583568,Home Alta Mesa Rd-Wilton,2023-04-11,2.0,38.3993722,-121.2220639,True,False,True,S216510898,,US-CA,2023,US,26.928649978399314,0.6197441669952547,47.79257682757218,9.62040226075882,Grassland,0.7736366450057608,2023-03-02,2023-04-11,700.0617114906845,0.4358282342202101,1,6.82234028169117,Long-distance,Temperate
bawwar,Black-and-white Warbler,Mniotilta varia,L13738767,Buxton Woods Coastal Reserve,2023-04-16,,35.2536716,-75.5610888,True,False,False,S216499433,,US-NC,2023,BR,26.843224952664446,3.637431608631262,80.59731173189417,11.271668447331958,Grassland,0.8372399995154594,2023-03-04,2023-06-24,683.5981000002223,0.698157644019845,7,4.794055805052277,Altitudinal,Arid
ribgul,Ring-billed Gull,Larus delawarensis,L1447130,Cannon/Wells Lake--Causeway,2024-04-06,1.0,44.2815575,-93.350716,True,False,False,S216481440,,US-MN,2024,BR,22.23699335658207,2.6571818017941267,51.990997610329515,6.858527293929207,Agricultural,0.7733040401143754,2024-02-25,2024-05-29,772.6896228279875,0.49835793429443775,6,6.766221408550307,Long-distance,Tropical
bushti,Bushtit,Psaltriparus minimus,L583568,Home Alta Mesa Rd-Wilton,2024-07-11,2.0,38.3993722,-121.2220639,True,False,True,S216510898,,US-CA,2024,ZA,19.959623134892244,0.287522866817508,75.043284862194,8.18848510752044,Grassland,0.30003048059549664,2024-03-16,2024-04-27,522.830571047513,0.254349101197638,7,7.40898039568218,Short-distance,Tropical
bushti,Bushtit,Psaltriparus minimus,L4753011,Big Bend NP--Chisos Basin Loop area,2021-05-06,1.0,29.2754569,-103.3053339,True,False,False,S216501111,,US-TX,2021,IN,20.454417678987493,1.9741052593945394,43.53483040921831,9.156507872606328,Forest,0.9467911722816206,2021-03-26,2021-06-13,970.8042106922927,0.1374933545300323,6,3.6609271465878837,Short-distance,Tropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L40784920,"2015 Lake Tahoe Blvd, South Lake Tahoe US-CA 38.91463, -120.00405",2023-05-07,8.0,38.914625,-120.004051,True,False,True,S216286140,,US-CA,2023,ZA,28.5879876780398,1.9530866436353027,87.39282836268303,10.535587509161434,Wetlands,0.35544946358047846,2023-03-19,2023-06-30,889.4604487197415,0.8150271042508549,2,2.4450614002735866,Altitudinal,Tropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L292411,Crescent Lake WMA,2021-04-05,3.0,47.8162308,-121.9934082,True,False,False,S216368196,,US-WA,2021,BR,24.967783611404307,0.655566373396639,89.03805871944257,10.580345724975388,Forest,0.7288221800927455,2021-03-25,2021-06-11,1061.8818976586826,0.2450086619074362,4,8.982889820847904,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L3121964,High Island Beach (Gulf Seawatch),2022-06-22,2.0,29.5497991,-94.3877969,True,False,False,S216511762,,US-TX,2022,ZA,29.45363068424976,3.9445606934189854,71.34013150324219,7.280054364537122,Wetlands,0.4532997386465428,2022-03-26,2022-05-03,677.9693518501804,0.6588872657669321,3,1.486356331131121,Altitudinal,Subtropical
bawwar,Black-and-white Warbler,Mniotilta varia,L13733170,"751 NE 160th Ave, Williston US-FL 29.34111, -82.50304",2023-07-07,1.0,29.341115,-82.503038,True,False,True,S216508098,,US-FL,2023,IN,19.386384897404803,6.1328479597998555,62.84440358686334,9.097059062820334,Agricultural,0.11963043951607033,2023-03-19,2023-08-21,999.1038489385483,0.9047276074229461,4,9.832692883311152,Altitudinal,Subtropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L17839292,"49 Drew Lane, Chateaugay, New York, US (44.838, -74.04)",2020-04-26,1.0,44.8381898,-74.0399963,True,False,True,S216509427,,US-NY,2020,US,23.972260711891483,3.8560672558681786,58.33991603231342,11.351487171334105,Wetlands,0.9326819023605022,2020-03-16,2020-06-04,1055.5370172857629,0.7071602939808602,2,8.145709534392724,Altitudinal,Arid
ribgul,Ring-billed Gull,Larus delawarensis,L1837850,Holden Beach--Beachfront,2022-06-23,1.0,33.9107651,-78.2965672,True,False,False,S216507389,,US-NC,2022,BR,20.55670680539931,0.16855070746949075,48.08472766369934,5.443090657560056,Grassland,0.3347435317993622,2022-03-24,2022-06-28,1220.0922357858344,0.9495213761786002,7,3.9135180788821753,Long-distance,Tropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L292411,Crescent Lake WMA,2022-06-23,3.0,47.8162308,-121.9934082,True,False,False,S216368196,,US-WA,2022,ZA,23.87028284923786,8.35717890595186,45.00774987533835,9.705070457636872,Forest,0.19621565117029527,2022-03-31,2022-04-30,819.9814365185892,0.0008572906882160503,6,5.599938758628561,Long-distance,Temperate
bawwar,Black-and-white Warbler,Mniotilta varia,L13738767,Buxton Woods Coastal Reserve,2020-07-05,,35.2536716,-75.5610888,True,False,False,S216499433,,US-NC,2020,US,21.641993702929682,1.0336501602115769,40.87491069936943,4.917232312014766,Urban,0.17713545479300252,2020-02-16,2020-07-23,1295.8245227296397,0.031162353200503312,5,1.089943973727137,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L40828647,Teal pier,2020-05-21,5.0,32.792506,-117.209805,True,False,True,S216510417,,US-CA,2020,IN,13.652973594393142,0.8666205285577975,86.02679425512773,11.079216925380365,Grassland,0.7959732435523011,2020-02-26,2020-04-18,947.4665111772464,0.3330746796251973,3,2.1241355016445063,Short-distance,Temperate
evegro,Evening Grosbeak,Coccothraustes vespertinus,L292411,Crescent Lake WMA,2022-03-19,3.0,47.8162308,-121.9934082,True,False,False,S216368196,,US-WA,2022,BR,20.494481522053555,4.888286837986438,50.34089465666982,8.469517559049349,Agricultural,0.6513361058002055,2022-02-22,2022-07-30,1135.2769257272753,0.03919683545574304,1,5.644556401248794,Short-distance,Subtropical
bawwar,Black-and-white Warbler,Mniotilta varia,L208734,Edith L. Moore Nature Sanctuary (UTC 094),2024-07-14,1.0,29.7717945,-95.5695572,True,False,False,S216510830,,US-TX,2024,US,25.169595111590056,4.727180809703228,54.568053641887225,10.448025733179641,Agricultural,0.6801585467588787,2024-02-19,2024-04-25,703.2871417580293,0.6151753496606469,3,3.5667588365597838,Altitudinal,Tropical
bushti,Bushtit,Psaltriparus minimus,L583568,Home Alta Mesa Rd-Wilton,2020-05-17,2.0,38.3993722,-121.2220639,True,False,True,S216510898,,US-CA,2020,US,9.878798698635292,2.4897857181874086,88.82448305739436,11.704820131458353,Forest,0.9300067198331662,2020-03-18,2020-08-27,808.0745854558729,0.16369028390380314,2,2.92034716619376,Long-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L124334,"Richard Clark Park, Chicago",2020-06-04,2.0,41.9433856,-87.6944263,True,False,False,S216513093,,US-IL,2020,ZA,16.483166969130632,8.089323076193713,84.32977207511992,7.7018643927988,Forest,0.9385888581772965,2020-03-11,2020-05-12,1130.469379344817,0.8794131749554379,5,2.706300379879453,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L40828647,Teal pier,2023-03-29,5.0,32.792506,-117.209805,True,False,True,S216510417,,US-CA,2023,ZA,23.443468146399287,8.926651921739282,56.45368897303639,9.894710599646217,Agricultural,0.5815083096240723,2023-02-26,2023-05-30,884.0919619024376,0.7506502585026682,1,9.338240841036923,Short-distance,Arid
ribgul,Ring-billed Gull,Larus delawarensis,L11409084,Snake River--3 mile rapids (Asotin Co.),2020-05-18,4.0,46.3052535,-117.0093727,True,False,False,S216499865,,US-WA,2020,IN,32.383739917804206,0.49479575320988944,69.1217538444148,7.18227537795398,Urban,0.18289377232919923,2020-03-06,2020-06-18,817.307571644195,0.65016918158767,1,5.193395049709831,Altitudinal,Subtropical
bushti,Bushtit,Psaltriparus minimus,L4753011,Big Bend NP--Chisos Basin Loop area,2020-04-14,1.0,29.2754569,-103.3053339,True,False,False,S216501111,,US-TX,2020,BR,25.40750348686312,3.7805409026142858,66.87700718201731,12.574417212802048,Agricultural,0.16039387500614521,2020-03-07,2020-04-10,1054.4572277764444,0.8782066742268435,3,1.028505827245603,Altitudinal,Subtropical
ribgul,Ring-billed Gull,Larus delawarensis,L1837850,Holden Beach--Beachfront,2023-06-30,1.0,33.9107651,-78.2965672,True,False,False,S216507389,,US-NC,2023,BR,27.14577818662822,5.7925271315203695,48.95819591450754,5.802764715446574,Wetlands,0.4842130657597906,2023-03-21,2023-06-12,970.0267429086789,0.7850980089510253,4,2.9181052009500257,Altitudinal,Subtropical
bushti,Bushtit,Psaltriparus minimus,L4753011,Big Bend NP--Chisos Basin Loop area,2021-08-16,1.0,29.2754569,-103.3053339,True,False,False,S216501111,,US-TX,2021,BR,21.149076887375358,5.199450940230469,66.78444852280148,12.59274515409591,Wetlands,0.6350245661416096,2021-02-21,2021-08-15,853.0119193060391,0.4736193210408153,5,4.28787606848359,Short-distance,Subtropical
ribgul,Ring-billed Gull,Larus delawarensis,L1396692,George Freer Memorial Beach,2024-03-31,10.0,41.9102459,-73.9727658,True,False,False,S216505595,,US-NY,2024,US,21.47025822847932,1.9144991539672784,64.12465302638314,15.031347610560612,Urban,0.9919266183081108,2024-03-02,2024-04-10,1046.1845538022117,0.08080905990536413,4,7.720748942638128,Short-distance,Tropical
